Sitka-Heading.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-1900000'.;
Sitka-Heading-Semibold.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-2580000'.;
Sitka-Heading-Bold.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-2bc0000'.;
Sitka-Heading-Italic.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-1900000'.;
Sitka-Heading-Semibold-Italic.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-2580000'.;
Sitka-Heading-Bold-Italic.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-2bc0000'.;
Sitka-Heading.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-1900000'.;
Sitka-Heading-Semibold.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-2580000'.;
Sitka-Heading-Bold.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-2bc0000'.;
Sitka-Heading-Italic.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-1900000'.;
Sitka-Heading-Semibold-Italic.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-2580000'.;
Sitka-Heading-Bold-Italic.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-150b1c-2bc0000'.;
